DATE,GEONAME,SCORE
2017-02-22,Lower Normandy,53
2017-02-22,Midi-Pyrénées,57
2017-02-22,Nord-Pas-de-Calais,37
2017-02-22,Pays de la Loire,64
2017-02-22,Picardy,48
2017-02-22,Poitou-Charentes,50
2017-02-22,Provence-Alpes-Côte d'Azur,50
2017-02-22,Rhone-Alpes,45
2017-02-22,Upper Normandy,41
2017-02-22,Île-de-France,48
2017-02-23,Alsace,56
2017-02-23,Aquitaine,62
2017-02-23,Auvergne,50
2017-02-23,Brittany,91
2017-02-23,Burgundy,70
2017-02-23,Centre-Val de Loire,62
2017-02-23,Champagne-Ardenne,38
2017-02-23,Corsica,100
2017-02-23,Franche-Comté,59
2017-02-23,Languedoc-Roussillon,61
2017-02-23,Limousin,49
2017-02-23,Lorraine,59
2017-02-23,Lower Normandy,73
2017-02-23,Midi-Pyrénées,62
2017-02-23,Nord-Pas-de-Calais,55
2017-02-23,Pays de la Loire,75
2017-02-23,Picardy,54
2017-02-23,Poitou-Charentes,65
2017-02-23,Provence-Alpes-Côte d'Azur,63
2017-02-23,Rhone-Alpes,58
2017-02-23,Upper Normandy,58
2017-02-23,Île-de-France,63
2017-02-24,Alsace,60
2017-02-24,Aquitaine,74
2017-02-24,Auvergne,63
2017-02-24,Brittany,84
2017-02-24,Burgundy,76
2017-02-24,Centre-Val de Loire,55
2017-02-24,Champagne-Ardenne,44
2017-02-24,Corsica,75
2017-02-24,Franche-Comté,100
2017-02-24,Languedoc-Roussillon,61
2017-02-24,Limousin,71
2017-02-24,Lorraine,64
2017-02-24,Lower Normandy,57
2017-02-24,Midi-Pyrénées,66
2017-02-24,Nord-Pas-de-Calais,47
2017-02-24,Pays de la Loire,99
2017-02-24,Picardy,50
2017-02-24,Poitou-Charentes,65
2017-02-24,Provence-Alpes-Côte d'Azur,61
2017-02-24,Rhone-Alpes,65
2017-02-24,Upper Normandy,62
2017-02-24,Île-de-France,69
2017-02-25,Alsace,54
2017-02-25,Aquitaine,75
2017-02-25,Auvergne,61
2017-02-25,Brittany,87
2017-02-25,Burgundy,56
2017-02-25,Centre-Val de Loire,58
2017-02-25,Champagne-Ardenne,64
2017-02-25,Corsica,100
2017-02-25,Franche-Comté,63
2017-02-25,Languedoc-Roussillon,79
2017-02-25,Limousin,94
2017-02-25,Lorraine,56
2017-02-25,Lower Normandy,59
2017-02-25,Midi-Pyrénées,72
2017-02-25,Nord-Pas-de-Calais,46
2017-02-25,Pays de la Loire,86
2017-02-25,Picardy,50
2017-02-25,Poitou-Charentes,52
2017-02-25,Provence-Alpes-Côte d'Azur,64
2017-02-25,Rhone-Alpes,72
2017-02-25,Upper Normandy,67
2017-02-25,Île-de-France,67
2017-02-26,Alsace,63
2017-02-26,Aquitaine,75
2017-02-26,Auvergne,64
2017-02-26,Brittany,87
2017-02-26,Burgundy,67
2017-02-26,Centre-Val de Loire,58
2017-02-26,Champagne-Ardenne,59
2017-02-26,Corsica,98
2017-02-26,Franche-Comté,80
2017-02-26,Languedoc-Roussillon,83
2017-02-26,Limousin,60
2017-02-26,Lorraine,51
2017-02-26,Lower Normandy,100
2017-02-26,Midi-Pyrénées,76
2017-02-26,Nord-Pas-de-Calais,40
2017-02-26,Pays de la Loire,89
2017-02-26,Picardy,45
2017-02-26,Poitou-Charentes,69
2017-02-26,Provence-Alpes-Côte d'Azur,68
2017-02-26,Rhone-Alpes,53
2017-02-26,Upper Normandy,64
2017-02-26,Île-de-France,60
2017-02-27,Alsace,51
2017-02-27,Aquitaine,84
2017-02-27,Auvergne,74
2017-02-27,Brittany,100
2017-02-27,Burgundy,77
2017-02-27,Centre-Val de Loire,72
2017-02-27,Champagne-Ardenne,52
2017-02-27,Corsica,66
2017-02-27,Franche-Comté,81
2017-02-27,Languedoc-Roussillon,86
2017-02-27,Limousin,45
2017-02-27,Lorraine,60
2017-02-27,Lower Normandy,95
2017-02-27,Midi-Pyrénées,91
2017-02-27,Nord-Pas-de-Calais,56
2017-02-27,Pays de la Loire,81
2017-02-27,Picardy,56
2017-02-27,Poitou-Charentes,88
2017-02-27,Provence-Alpes-Côte d'Azur,67
2017-02-27,Rhone-Alpes,67
2017-02-27,Upper Normandy,61
2017-02-27,Île-de-France,69
2017-02-28,Alsace,62
2017-02-28,Aquitaine,90
2017-02-28,Auvergne,69
2017-02-28,Brittany,100
2017-02-28,Burgundy,71
2017-02-28,Centre-Val de Loire,79
2017-02-28,Champagne-Ardenne,59
2017-02-28,Corsica,55
2017-02-28,Franche-Comté,59
2017-02-28,Languedoc-Roussillon,72
2017-02-28,Limousin,65
2017-02-28,Lorraine,73
2017-02-28,Lower Normandy,83
2017-02-28,Midi-Pyrénées,79
2017-02-28,Nord-Pas-de-Calais,61
2017-02-28,Pays de la Loire,79
2017-02-28,Picardy,51
2017-02-28,Poitou-Charentes,71
2017-02-28,Provence-Alpes-Côte d'Azur,71
2017-02-28,Rhone-Alpes,70
2017-02-28,Upper Normandy,64
