DATE,GEONAME,SCORE
2017-02-25,Picardy,92
2017-02-25,Poitou-Charentes,44
2017-02-25,Provence-Alpes-Côte d'Azur,75
2017-02-25,Rhone-Alpes,66
2017-02-25,Upper Normandy,82
2017-02-25,Île-de-France,56
2017-02-26,Alsace,52
2017-02-26,Aquitaine,80
2017-02-26,Auvergne,87
2017-02-26,Brittany,81
2017-02-26,Burgundy,57
2017-02-26,Centre-Val de Loire,90
2017-02-26,Champagne-Ardenne,61
2017-02-26,Corsica,76
2017-02-26,Franche-Comté,49
2017-02-26,Languedoc-Roussillon,100
2017-02-26,Limousin,90
2017-02-26,Lorraine,49
2017-02-26,Lower Normandy,50
2017-02-26,Midi-Pyrénées,90
2017-02-26,Nord-Pas-de-Calais,57
2017-02-26,Pays de la Loire,56
2017-02-26,Picardy,61
2017-02-26,Poitou-Charentes,68
2017-02-26,Provence-Alpes-Côte d'Azur,68
2017-02-26,Rhone-Alpes,64
2017-02-26,Upper Normandy,76
2017-02-26,Île-de-France,59
2017-02-27,Alsace,51
2017-02-27,Aquitaine,68
2017-02-27,Auvergne,55
2017-02-27,Brittany,82
2017-02-27,Burgundy,82
2017-02-27,Centre-Val de Loire,47
2017-02-27,Champagne-Ardenne,46
2017-02-27,Franche-Comté,89
2017-02-27,Languedoc-Roussillon,57
2017-02-27,Limousin,100
2017-02-27,Lorraine,47
2017-02-27,Lower Normandy,34
2017-02-27,Midi-Pyrénées,87
2017-02-27,Nord-Pas-de-Calais,46
2017-02-27,Pays de la Loire,83
2017-02-27,Picardy,66
2017-02-27,Poitou-Charentes,61
2017-02-27,Provence-Alpes-Côte d'Azur,53
2017-02-27,Rhone-Alpes,60
2017-02-27,Upper Normandy,70
2017-02-27,Île-de-France,56
2017-02-28,Alsace,37
2017-02-28,Aquitaine,38
2017-02-28,Auvergne,22
2017-02-28,Brittany,100
2017-02-28,Burgundy,62
2017-02-28,Centre-Val de Loire,37
2017-02-28,Champagne-Ardenne,39
2017-02-28,Franche-Comté,41
2017-02-28,Languedoc-Roussillon,44
2017-02-28,Limousin,24
2017-02-28,Lorraine,28
2017-02-28,Lower Normandy,20
2017-02-28,Midi-Pyrénées,41
2017-02-28,Nord-Pas-de-Calais,27
2017-02-28,Pays de la Loire,37
2017-02-28,Picardy,27
2017-02-28,Poitou-Charentes,55
2017-02-28,Provence-Alpes-Côte d'Azur,35
2017-02-28,Rhone-Alpes,34
2017-02-28,Upper Normandy,46
