DATE,GEONAME,SCORE
2017-02-23,Provence-Alpes-Côte d'Azur,78
2017-02-23,Rhone-Alpes,80
2017-02-23,Upper Normandy,64
2017-02-23,Île-de-France,89
2017-02-24,Alsace,32
2017-02-24,Aquitaine,69
2017-02-24,Auvergne,72
2017-02-24,Brittany,100
2017-02-24,Burgundy,69
2017-02-24,Centre-Val de Loire,64
2017-02-24,Champagne-Ardenne,34
2017-02-24,Corsica,60
2017-02-24,Franche-Comté,31
2017-02-24,Languedoc-Roussillon,51
2017-02-24,Limousin,89
2017-02-24,Lorraine,39
2017-02-24,Lower Normandy,52
2017-02-24,Midi-Pyrénées,64
2017-02-24,Nord-Pas-de-Calais,59
2017-02-24,Pays de la Loire,47
2017-02-24,Picardy,46
2017-02-24,Poitou-Charentes,56
2017-02-24,Provence-Alpes-Côte d'Azur,46
2017-02-24,Rhone-Alpes,52
2017-02-24,Upper Normandy,36
2017-02-24,Île-de-France,61
2017-02-25,Alsace,49
2017-02-25,Aquitaine,82
2017-02-25,Auvergne,100
2017-02-25,Brittany,97
2017-02-25,Burgundy,52
2017-02-25,Centre-Val de Loire,83
2017-02-25,Champagne-Ardenne,37
2017-02-25,Corsica,47
2017-02-25,Franche-Comté,57
2017-02-25,Languedoc-Roussillon,65
2017-02-25,Limousin,49
2017-02-25,Lorraine,36
2017-02-25,Lower Normandy,70
2017-02-25,Midi-Pyrénées,81
2017-02-25,Nord-Pas-de-Calais,61
2017-02-25,Pays de la Loire,75
2017-02-25,Picardy,24
2017-02-25,Poitou-Charentes,48
2017-02-25,Provence-Alpes-Côte d'Azur,32
2017-02-25,Rhone-Alpes,52
2017-02-25,Upper Normandy,46
2017-02-25,Île-de-France,66
2017-02-26,Alsace,68
2017-02-26,Aquitaine,71
2017-02-26,Auvergne,95
2017-02-26,Brittany,88
2017-02-26,Burgundy,55
2017-02-26,Centre-Val de Loire,100
2017-02-26,Champagne-Ardenne,54
2017-02-26,Corsica,100
2017-02-26,Franche-Comté,78
2017-02-26,Languedoc-Roussillon,62
2017-02-26,Limousin,74
2017-02-26,Lorraine,53
2017-02-26,Lower Normandy,79
2017-02-26,Midi-Pyrénées,65
2017-02-26,Nord-Pas-de-Calais,75
2017-02-26,Pays de la Loire,94
2017-02-26,Picardy,66
2017-02-26,Poitou-Charentes,73
2017-02-26,Provence-Alpes-Côte d'Azur,62
2017-02-26,Rhone-Alpes,59
2017-02-26,Upper Normandy,74
2017-02-26,Île-de-France,73
2017-02-27,Alsace,43
2017-02-27,Aquitaine,37
2017-02-27,Auvergne,35
2017-02-27,Brittany,100
2017-02-27,Burgundy,48
2017-02-27,Centre-Val de Loire,41
2017-02-27,Champagne-Ardenne,30
2017-02-27,Corsica,64
2017-02-27,Franche-Comté,70
2017-02-27,Languedoc-Roussillon,49
2017-02-27,Limousin,87
2017-02-27,Lorraine,37
2017-02-27,Lower Normandy,55
2017-02-27,Midi-Pyrénées,59
2017-02-27,Nord-Pas-de-Calais,41
2017-02-27,Pays de la Loire,56
2017-02-27,Picardy,39
2017-02-27,Poitou-Charentes,66
2017-02-27,Provence-Alpes-Côte d'Azur,42
2017-02-27,Rhone-Alpes,44
2017-02-27,Upper Normandy,63
2017-02-27,Île-de-France,55
2017-02-28,Alsace,31
2017-02-28,Aquitaine,39
2017-02-28,Auvergne,36
2017-02-28,Brittany,100
2017-02-28,Burgundy,43
2017-02-28,Centre-Val de Loire,33
2017-02-28,Champagne-Ardenne,44
2017-02-28,Corsica,48
2017-02-28,Franche-Comté,31
2017-02-28,Languedoc-Roussillon,35
2017-02-28,Limousin,23
2017-02-28,Lorraine,29
2017-02-28,Lower Normandy,49
2017-02-28,Midi-Pyrénées,56
2017-02-28,Nord-Pas-de-Calais,44
2017-02-28,Pays de la Loire,35
2017-02-28,Picardy,26
2017-02-28,Poitou-Charentes,45
2017-02-28,Provence-Alpes-Côte d'Azur,36
2017-02-28,Rhone-Alpes,39
2017-02-28,Upper Normandy,53
